Team Name,University Name
AUST_THE_FINAL_FRONTIER,AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY
BSMRSTU_PREFECT_NUMBER,BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY
UNIT_7,BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY
BUET_SYNTAXERROR,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY
BUET_STORM'S_END,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY
TEAM_MATRIX,BRAC UNIVERSITY
DOMAIN_EXPANSION,CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY
VANGA_BOYZ,CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY
CUET_OFF_WE_GO,CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY
DIIT_RUNTIME_TERROR,DAFFODIL INSTITUTE OF IT
UNTITLED,DAFFODIL INTERNATIONAL UNIVERSITY
GREEN_THUNDER,GREEN UNIVERSITY OF BANGLADESH
RANDOMTHREE,INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG
TEAM_SUPPLY,INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG
HERE_WE_GO_AGAIN,INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG
IUT_ALT_F4,ISLAMIC UNIVERSITY OF TECHNOLOGY
QUANTUM_GUYS,JAGANNATH UNIVERSITY
JU-METRONOME,JAHANGIRNAGAR UNIVERSITY
JU_AMADEUS,JAHANGIRNAGAR UNIVERSITY
JUST_POWER_RANGERS,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY
JUST_NINJAS,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY
JUST_PARAFFIN,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY
MIST_MZM,MILITARY INSTITUTE OF SCIENCE AND TECHNOLOGY
BOLBONA,PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY
RUET_UNKNOWNS,RAJSHAHI UNIVERISTY OF ENGINEERING AND TECHNOLOGY
YOUR_WORST_NIGHTMARE,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY
TEAM_NANDE,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY
সাস্ট_জিপিটিযোদ্ধা,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY
ONTORPONTHIK,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY
SAMURAI_SQUAD,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY
HOMO_SAPIENS,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY
DEFINE_CODERS,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY
TEAM_CODEX,SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY
TEAM_OMNITRIX,UNITED INTERNATIONAL UNIVERSITY
TEAM_DATE_EXPIRED,UNIVERSITY OF BARISHAL
THE_CHIEFS,UNIVERSITY OF BARISHAL
CU_CODECONQUEST,UNIVERSITY OF CHITTAGONG
DU_PROMETHEUS,UNIVERSITY OF DHAKA
DU_DILIGENCE,UNIVERSITY OF DHAKA
DU_STRONG_ENOUGH,UNIVERSITY OF DHAKA
DU_KKHO,UNIVERSITY OF DHAKA
DU_TRIPLEHASH,UNIVERSITY OF DHAKA
DU_RAEMON,UNIVERSITY OF DHAKA
DU_UNSATISFIEDSOULS,UNIVERSITY OF DHAKA
LAZY_CODERS,UNIVERSITY OF RAJSHAHI
RU_LEGION,UNIVERSITY OF RAJSHAHI
